DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2018,5784371,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2019,5810693,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2020,5841215,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2021,5854293,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2022,5883978,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2023,5946649,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belgium,2024,5981093,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2014,3662824,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2015,3621883,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2016,3578998,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2017,3537549,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2018,3494184,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2019,3450251,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2020,3405861,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2021,3389807,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2022,3364303,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2023,3348207,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Bulgaria,2024,3347783,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belarus,2014,5066943,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belarus,2015,5071671,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belarus,2016,5077522,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belarus,2017,5078185,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belarus,2018,5070289,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Belarus,2019,5059429,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2014,4117540,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2015,4163786,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2016,4205655,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2017,4246113,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2018,4277696,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2019,4307406,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2020,4337170,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2021,4367701,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2022,4400588,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2023,4435432,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Switzerland,2024,4510726,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2014,441537,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2015,441559,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2016,442623,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2017,445880,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2018,450423,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2019,455583,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2020,459191,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2021,466924,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2022,476513,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2023,483955,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Cyprus,2024,490771,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2014,5350039,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2015,5361348,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2016,5367513,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2017,5378133,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2018,5390264,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2019,5405606,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2020,5421943,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2021,5323934,b,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2022,5332932,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2023,5519006,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Czechia,2024,5557945,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2014,41210540,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2015,41362080,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2016,41661561,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2017,41824535,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2018,41948786,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2019,42052522,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2020,42129098,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2021,42128512,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2022,42170339,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2023,42198796,b,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany,2024,42294114,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2014,41210540,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2015,41362080,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2016,41661561,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2017,41824535,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2018,41948786,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2019,42052522,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2020,42129098,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2021,42128512,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2022,42170339,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2023,42198796,b,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Germany including former GDR,2024,42294114,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2014,2834956,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2015,2848701,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2016,2869364,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2017,2888591,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2018,2904717,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2019,2917008,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2020,2925845,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2021,2935188,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2022,2950505,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2023,2983655,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Denmark,2024,2997558,,
